TIC_ID,Tau0,Period,Duration,Teff,logg
260304296,1325.53,0.5126,1.16,6757,4.21768
13738984,1517.5,0.2768,0.56,5818,4.3594398
197886566,1354.44,0.8722,1.16,6019,4.0497699
24347173,1438.16,0.3516,0.51,5744,4.22328
142148228,1325.22,0.7806,1.05,6775,4.0873399
173077938,1492.01,0.6484,1.48,7382,3.8764999
149976187,1491.68,0.4486,1.1,6660,3.81358
32268776,1386.05,0.2382,0.73,4867,
178366477,1491.7,0.0603,0.32,,
24450633,1438.15,0.2285,0.76,7346,
27654882,1491.67,1.1157,1.51,6447,3.8852301
77630842,1517.42,0.1349,0.42,,
142080812,1491.98,1.058,1.01,,
198076334,1354.4,0.3913,0.95,5854.3901,3.6185801
235385233,1468.43,0.2048,0.6,,
1450518,1438.03,0.3338,0.45,4171,4.25845
148611095,1546.01,2.4187,7.32,3452,4.7891898
423530755,1572.58,2.3423,1.32,5547,4.2725501
22937402,1492.96,0.6919,1.45,,
305536347,1517.54,0.5464,1.22,5432,4.41431
272551828,1468.33,0.0745,0.21,,
48372732,1544.65,1.0956,1.28,6410,4.0453801
358022169,1600.4,0.1516,0.41,5740,4.5387998
438942374,1544.41,1.709,0.13,5148,4.2926698
83135408,1571.54,0.9007,1.17,6594,
350622185,1325.6,0.5843,1.06,6958,
443494351,1544.11,0.2579,0.69,,
123405765,1386.29,1.15,1.55,5981,4.2072902
408552008,1571.16,0.2617,0.64,3114,4.90593
364302118,1325.26,0.6727,1.42,,
