t_phase,flux,flux_err
-0.49993381097275924,-0.007813811,0.0012895872
-0.49987636957830006,-0.0069747567,0.0012800506
-0.4998454281466762,-0.008830786,0.0012873065
-0.4997589998611486,-0.010487199,0.001282638
-0.4997478500958974,-0.009920001,0.0012721961
-0.4996746168971946,-0.00938803,0.0012774298
-0.4996214574528559,-0.0102241635,0.0012654938
-0.49959231630728496,-0.0103263855,0.0012716319
-0.49951209716419187,-0.0077025294,0.0012670491
-0.4994971916480446,-0.007994354,0.0012607144
-0.49943391871037857,-0.0054090023,0.0012635835
-0.4993750174818653,-0.007226646,0.0012580983
-0.4993576994287361,-0.0065445304,0.0012587409
-0.4992833476137324,-0.008528054,0.0012577455
-0.4992548765932504,-0.00961411,0.0012546177
-0.4992110902154253,-0.009041309,0.0012589119
-0.4991367680592692,-0.008065343,0.001256309
-0.49902179605634744,-0.008448184,0.001255255
-0.49882692449360233,-0.008583665,0.0013003509
-0.49875812219397087,-0.007347703,0.0012920625
-0.4987342583491726,-0.008097291,0.0012987345
-0.4986425842983383,-0.007180631,0.0012939628
-0.49862551855268256,-0.010417998,0.001285409
-0.49855241274239925,-0.008830965,0.0012903719
-0.49849491576765104,-0.0070462227,0.0012794266
-0.4984640326943808,-0.0106835365,0.001286076
-0.49837760718827473,-0.010692179,0.0012840691
-0.4983663999918976,-0.010983944,0.0012719546
-0.49829322700419454,-0.0061935782,0.0012786664
-0.49824001012737296,-0.0066901445,0.001266747
-0.4982109301195772,-0.01056093,0.0012718268
-0.49813071375500095,-0.0075098276,0.0012665541
-0.49811574710198314,-0.005662322,0.0012611126
-0.4980525371533816,-0.009208918,0.0012626095
-0.4979935757134162,-0.009300947,0.0012575554
-0.49797632157793603,-0.008005261,0.0012575621
-0.4979019725419015,-0.00858736,0.0012589949
-0.49787343760512737,-0.0082604885,0.0012560328
-0.4978297188479821,-0.0061461926,0.001259536
-0.4977553318503416,-0.010477483,0.0012559126
-0.49764036725777827,-0.008572042,0.0012552381
-0.4974455216311746,-0.009019256,0.0013007694
-0.4973766637532895,-0.007342696,0.0012938419
-0.4973528564141987,-0.008760095,0.0012980503
-0.49726118421487975,-0.0076390505,0.0012934444
-0.4972440628893873,-0.010101557,0.0012849657
-0.49717101543791,-0.009085536,0.001289842
-0.49711346288468194,-0.007535279,0.0012820236
-0.4970826372427638,-0.010142505,0.0012872687
-0.4969962154426285,-0.010019124,0.0012834278
-0.49698494988744535,-0.009409785,0.0012724347
-0.4969118380370653,-0.007105589,0.0012796124
-0.4968585628023423,-0.010015845,0.0012660237
-0.49682954393119094,-0.01272589,0.0012717502
-0.49674933034535784,-0.0075058937,0.0012673842
-0.49673430255456485,-0.007291794,0.0012613127
-0.49667115652315996,-0.008455753,0.0012623187
-0.4966121339456455,-0.008170664,0.0012587768
-0.49659494280081284,-0.011933625,0.0012570106
-0.49652059654397374,-0.00713557,0.0012588972
-0.49649199861655213,-0.009106398,0.0012553179
-0.4964483465537636,-0.012460411,0.0012577409
-0.49637389656751085,-0.0057350397,0.0012576666
-0.4962589393841752,-0.007180929,0.0012552948
