,tid,sector,zeta,deltchi2,kurtosis,duration,tau0,depth,period,numdips,flat,teff,logg,class,ra,dec
0,468887783,5,116034.0,8200.27,119.617,0.09964174,1439.945794,0.149923861,4.52917,2,y,6667.0,3.65535,eb,56.67611599999998,9.907843
1,167692429,12,107016.0,1515.6,163.928,0.0616806,1628.209499,0.289625168,10.2801,2,y,6473.9,3.4807,eb,102.7160259993334,-63.43109400016433
3,382517745,8,100560.0,485.81699999999995,182.02700000000002,0.06264360000000001,1519.688895,0.123560905,10.4406,2,y,5674.0,4.25241,eb,117.45211399933339,-64.04238900062302
4,180412528,13,99741.8,6508.67,88.1658,0.07339056,1656.557926,0.067849159,4.58691,2,y,,4.7657300000000005,eb,11.350899999333421,-77.86880000049071
5,133701671,12,95526.5,15540.2,142.107,0.0469519,1627.132062,0.10686370699999999,4.69519,2,y,7225.0,4.2808,eb,229.68449800000008,-48.90669900098412
6,149573659,5,94798.4,3701.94,127.61200000000001,0.03498712,1438.7327480000001,0.11673665,4.3733900000000006,1,n,5415.0,4.4637199999999995,eb,86.6123179993333,-61.69949800029823
7,260502102,12,93712.5,6170.89,102.837,0.04389492,1626.9654150000001,0.17428588899999997,7.3158199999999995,2,y,5177.92,4.3600900000000005,eb,96.51598100000007,-59.01618599935038
12,363847487,11,80520.5,11222.4,55.3798,0.04802925,1606.742951,0.061775147999999995,2.4014625,1,y,6558.0,4.26354,eb,200.43974799933335,-42.620540999745316
13,374366829,9,78668.2,2674.7,146.076,0.04499184,1549.072303,0.076074541,5.62398,2,y,6077.69,,eb,162.711358002,0.5283570000776195
14,261335113,13,78512.5,1455.67,153.013,0.06504944,1655.491418,0.405598432,8.13118,2,y,3347.0,4.62573,eb,92.3348649999997,-80.69426700070014
15,13957444,5,78254.3,24572.3,100.73899999999999,0.05236735,1445.183422,0.084917754,3.740525,1,y,6313.7,,eb,75.48781500000001,-37.039526
16,80059889,13,77405.9,13549.6,70.7413,0.04244814,1660.675264,0.144502223,3.0320099999999996,2,y,6507.0,4.09586,eb,297.8916679993333,-43.379601999953806
17,259589049,4,76721.2,2935.43,137.74200000000002,0.04983869999999999,1412.07223,0.229894161,4.98387,1,y,5708.0,,eb,72.43261100066667,-53.00205999983713
18,260504147,13,74366.1,53517.3,112.86399999999999,0.067344,1660.814058,0.17577177300000002,8.418,1,y,,,eb,96.43015999933328,-55.161774000093146
19,308851582,8,70506.2,1097.41,118.561,0.0392912,1518.1348890000002,0.20297277,4.9114,2,y,5916.0,4.4724900000000005,eb,122.586205,-63.74033
21,220474209,2,68433.6,122230.0,30.9418,0.03725045,1354.801944,0.06924182200000001,0.980275,2,y,5843.0,,eb,75.38490400000006,-59.512799999629735
23,407584737,1,67705.3,18018.7,160.404,0.04520224,1329.855606,0.06334340599999999,5.65028,2,y,5813.0,,eb,352.77367000000004,-74.13452400028221
26,332793697,11,66452.9,4163.04,59.7405,0.040717199999999995,1607.642594,0.020910174,3.3931,1,n,,,misc,215.9849870006667,-50.49959500087705
31,142852841,4,65437.6,4295.79,87.984,0.04789204,1412.02282,0.024215221000000002,3.42086,2,y,6198.0,4.30054,eb,50.506215999999995,-31.104662
32,280052690,2,65278.6,4109.21,90.8027,0.04560336,1356.9569470000001,0.040962993999999996,2.8502099999999997,1,y,,,eb,45.447311999333294,-76.20321700094252
34,219238496,4,64960.4,8860.45,206.998,0.039036,1417.3028,0.326890588,6.506,2,y,9885.0,4.17697,eb,64.49651499999999,-48.39589600147883
35,146597035,5,63714.3,13494.9,83.7209,0.04840396,1439.342306,0.07386439999999998,2.20018,1,y,6058.0,4.11158,eb,77.77225499999997,-21.498342
36,55524055,12,63469.6,11692.3,76.5335,0.04239288,1627.419515,0.18112185600000003,2.649555,2,y,4978.42,4.60755,eb,72.05318899933337,-63.695531000360326
39,423987361,12,62053.8,3271.4,136.63299999999998,0.06640548,1629.860992,0.046543598,5.53379,1,n,5728.0,4.50747,eb,235.84191099866666,-63.66421100033692
48,31810287,9,58509.0,31379.8,121.95100000000001,0.05713776,1553.322318,0.277219653,4.761480000000001,2,y,5988.0,4.32147,eb,136.65090999933335,-47.06956500104806
49,32759110,6,57999.2,15595.0,82.0486,0.0407704,1469.6116359999999,0.146963775,2.03852,1,y,3119.0,4.8990800000000005,eb,86.2414,-24.936
51,206468815,4,57783.3,2615.14,143.355,0.08843604,1413.964904,0.12202489400000001,7.369669999999999,2,y,5944.0,4.2004,eb,57.01761000000005,-53.60684099941929
55,91542943,4,56782.1,5114.73,105.449,0.04261248,1412.435403,0.400426626,5.32656,1,y,3217.0,4.76791,eb,43.8250020006667,-33.74565999962307
58,175182754,7,56586.4,6712.02,108.288,0.05332628,1492.2359960000001,0.073807478,3.80902,2,y,,,eb,115.96946500133333,-37.720480999843474
63,31054255,6,55250.6,14599.9,27.4605,0.036701513,1475.133668,0.247478306,0.8738455559999999,1,y,3021.0,4.96097,eb,80.57573200000002,-25.11977799994631
65,178938417,5,54804.2,6484.29,198.88099999999997,0.04779784,1443.006521,0.008074731,5.97473,2,n,5405.0,4.51994,eb,68.27596499999999,-24.013285
67,142409400,7,54241.0,17468.9,25.9697,0.036060917000000005,1496.003524,0.199479878,1.3869583330000002,2,y,3385.0,4.5851,eb,103.09399999933333,-12.96859999993834
68,178284729,5,54194.7,2784.18,75.1817,0.04024872,1439.525293,0.11031127,2.23604,1,y,3968.0,4.631869999999999,eb,60.38770100133337,-20.4506339991387
72,32150630,13,53864.7,18465.6,43.6705,0.03581256,1656.950717,0.145037889,1.49219,2,n,4323.0,,eb,59.244122999333285,-68.62611700017297
73,143924219,1,53569.7,4540.24,76.5857,0.03947958,1329.638493,0.025442094,2.81997,1,n,6412.0,3.9911,eb,332.70309,-48.89067200097865
81,339607421,2,52518.0,13315.1,80.3649,0.0487623,1358.810799,0.054663897,2.4381150000000003,1,y,6327.0,4.33812,eb,46.20942800066666,-52.55858500032573
92,238162238,7,51039.5,36572.6,45.473,0.0365601,1492.554891,0.042458057,1.2186700000000001,2,n,6172.0,4.14711,eb,106.39602099933342,-48.84009600096148
94,421285598,12,50732.5,4778.12,46.1773,0.037725972999999996,1626.24638,0.132223725,2.357873333,2,n,5745.05,4.15989,eb,261.9239809986666,-54.11273899963296
95,49534600,13,50685.9,2429.83,152.111,0.06362336,1662.0528570000001,0.152355731,7.95292,2,y,,,eb,273.693892,-52.81884799976312
98,301956407,12,49954.6,28658.4,55.2252,0.040291312999999995,1628.718231,0.026056617,1.831423333,2,y,6079.38,4.0967199999999995,eb,260.05292800000007,-70.04542299918245
100,423530755,10,49728.7,34143.4,86.4155,0.04215825,1573.228807,0.07238709900000001,2.342125,1,n,5547.0,4.27255,eb,185.309036,-20.70802399918183
108,365694569,6,48845.9,36921.0,113.741,0.271032,1474.459131,0.346178353,9.0344,2,y,6358.0,3.99916,eb,81.63508000000002,9.691468
109,147975720,6,48809.7,13767.1,98.87899999999999,0.09120672,1469.193974,0.27351427100000003,2.8502099999999997,1,y,3464.0,4.73355,eb,99.59719999933333,-37.24189999973183
115,33912852,2,47845.5,67402.8,36.9638,0.03750978,1355.770024,0.019524813000000002,1.7049900000000002,2,y,6541.0,4.06786,eb,356.142237,-26.476275000192167
116,35349987,12,47511.0,1337.54,192.128,0.10738900000000001,1625.740892,0.194561481,10.7389,1,y,3721.0,4.570530000000001,eb,224.78050999933328,-55.66374299965532
117,101845679,13,47214.6,36903.6,24.4301,0.0384346,1654.694945,0.015564143999999999,1.281153333,2,y,6252.0,4.06029,eb,304.003954,-50.13726700074652
118,178171080,3,47156.2,2406.68,100.66799999999999,0.04550238,1388.1420050000002,0.024862081,3.2501700000000002,1,n,,,eb,43.26620600000001,-31.403843999138484
124,49558810,3,45840.9,4316.83,85.0433,0.0603786,1389.5797220000002,0.07844638799999999,3.354366667,1,y,5209.0,4.34502,eb,36.538229,-36.374711
129,290476605,8,45280.8,12412.2,160.326,0.04596192,1519.492753,0.027871937000000003,5.74524,2,y,6687.0,3.96927,eb,139.16657099999998,0.729023
135,140659978,5,44622.0,2256.11,141.784,0.05664474,1441.557606,0.293846905,9.44079,2,y,5221.0,4.20723,eb,72.4532890006667,-72.46324199996882
136,278784173,1,44531.2,24384.1,33.1612,0.026905062999999996,1327.955724,0.063155472,0.747362857,1,y,,,eb,335.73026699933325,-37.527791999798346
142,250387838,4,44038.9,10873.2,109.17,0.06886339999999999,1411.310997,0.037178755,6.88634,2,y,5871.05,3.8065300000000004,eb,30.267659999999978,-2.495293
143,371839073,13,43845.7,2741.64,92.66,0.06074159999999999,1655.202666,0.10071730599999999,3.79635,1,y,6034.0,4.22609,eb,306.00712099933344,-71.08069099989015
144,269852699,13,43833.6,2123.55,75.1724,0.061638,1656.506625,0.117064059,5.1365,2,y,6137.0,4.1378699999999995,eb,69.88404799933352,-79.72743999910841
150,220397947,12,43075.6,3942.55,59.8553,0.05327265,1625.916913,0.072456717,1.775755,1,y,6257.33,4.0179599999999995,eb,69.01475399933338,-58.07594999884303
151,340100436,12,43010.2,11725.1,59.8572,0.03525456,1625.13174,0.039916812999999995,1.46894,1,y,5297.0,4.43034,eb,237.6954909993333,-63.97013800056779
157,379783522,11,42382.5,19180.6,41.4363,0.03919888,1600.054736,0.016508281,2.4499299999999997,2,n,,,eb,181.59581100000003,-65.70933499998286
158,255700967,7,42368.1,2564.04,100.679,0.0685072,1494.555478,0.044857204000000005,3.42536,1,y,6896.0,3.94173,eb,98.90142400066668,-52.33935500023901
